country,country3,US,color,SPI,GDP_USD_2018,HDIrank,HDIindex,HDI_cat,happiness,genderequality_index,infantmort,birth_MF,sixty_MF,logGDP
Afghanistan,AFG,Non US,#545454,31.21,19469022208,168,0.4942397377480059,Low,4.220168590545654,NA,0.053200000000000004,62.7,16.3,23.692090434627726
Albania,ALB,Non US,#545454,70.85,11883682171,68,0.7817005590918955,High,4.511100769042969,0.703645707447106,0.0081,76.4,20.8,23.198432049911116
Algeria,DZA,Non US,#545454,65.64,159049e6,85,0.7524951334256267,High,5.340853691101074,0.641996088674862,0.021,76.4,21.9,25.792478167790772
American Samoa,ASM,Non US,#545454,NA,658e6,NA,NA,NA,NA,NA,NA,NA,NA,20.304715489289592
Andorra,AND,Non US,#545454,NA,2877311947,35,0.8558054251149887,Very High,NA,NA,0.0033,NA,NA,21.780122343514204
Angola,AGO,Non US,#545454,36.77,95337203468,147,0.5769332632357265,Medium,NA,0.643248859592326,0.055799999999999995,62.6,17.3,25.28068595409235
Antigua & Barbuda,ATG,Non US,#545454,NA,1460144704,70,0.7777269048757208,High,NA,NA,0.0056,75,19.7,21.101801380084122
Argentina,ARG,Non US,#545454,74.48,554861e6,47,0.8217587592988095,Very High,6.427221298217773,0.735213941472659,0.009699999999999999,76.9,21.8,27.041983468874445
Armenia,ARM,Non US,#545454,69.66,10546135160,83,0.7492645868098929,High,4.325471878051758,0.669264795633783,0.0119,74.8,19.6,23.079025294206204
Australia,AUS,Non US,#545454,87.66,120804e7,3,0.9378680440732646,Very High,7.250080108642578,0.721366191797363,0.0031,82.9,25.6,27.820020327475742
Austria,AUT,Non US,#545454,86.5,3908e8,20,0.9058221188119048,Very High,7.04807186126709,0.715833170064506,0.003,81.9,24.4,26.69146175711504
Azerbaijan,AZE,Non US,#545454,NA,37867518957,80,0.7569778767514419,High,5.303894996643066,0.683746916501685,0.0219,73.1,18.9,24.35735956197931
Bahamas,BHS,Non US,#545454,NA,118388e5,54,0.8063252384321128,Very High,NA,0.729054298846894,0.0060999999999999995,75.7,22.6,23.194648109914525
